VRN,NICK,TTIME,LAT,LON,FLATTIRE,ACCURACY,STOPLINEVIOLATION,OBDABSENGLOAD,FUELLVLINPUT,BSMLAT,BSMLON,DRVBEHAVIOR,DISABLEDVEHICLE,ACCELPOS,GETONDOWN,EQURATIO,HAZARDLIGHTS,COOLANTTEMP,HLTURN,HUTURN,HRTURN,HSTART,HSTOP,HDECEL,HACCEL,TROUBLE,V2XTID,DISTANCE,TRIPSEQ,OBDSPEED,OBDRPM,OBDVOLT,OBDFUELRATE,MDISTANCE,MFCO,GPSSPEED,HEADING,DTC,OBDDIST,PEDESSTAT,PEDESEVENTTERMINALTIME,PEDESCLEARTERMINALTIME,COLLISTAT,COLLIEVENTTERMINALTIME,COLLICLEARTERMINALTIME,ESTOPSTAT,ESTOPEVENTTIME,ESTOPFINTIME,ESTOPCMDSOURCE,ESTOPBRAKEDISTANCE,ESTOPBRAKETIME
1516,test,2018/08/21 11:42:24,37.46083,126.9222,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,9.9880,,,,,,,,,,,,,,,,,
1516,test,2018/08/21 11:42:25,37.46085,126.9237,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,3.0128,,,,,,,,,,,,,,,,,
1516,test,2018/08/21 11:42:26,37.46186,126.9241,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,4.1329,,,,,,,,,,,,,,,,,
1516,test,2018/08/21 11:42:27,37.46058,126.9221,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,3.4759,,,,,,,,,,,,,,,,,
1516,test,2018/08/21 11:42:28,37.46029,126.9227,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,6.2148,,,,,,,,,,,,,,,,,
1516,test,2018/08/21 11:42:29,37.46116,126.9232,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,5.6567,,,,,,,,,,,,,,,,,
1516,test,2018/08/21 11:42:30,37.46197,126.9246,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,2.8737,,,,,,,,,,,,,,,,,
1516,test,2018/08/21 11:42:31,37.46018,126.9235,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,9.0148,,,,,,,,,,,,,,,,,
1516,test,2018/08/21 11:42:32,37.46152,126.9203,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,6.4620,,,,,,,,,,,,,,,,,
1516,test,2018/08/21 11:42:33,37.46110,126.9221,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,6.6933,,,,,,,,,,,,,,,,,
1516,test,2018/08/21 11:42:34,37.46186,126.9241,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,7.1353,,,,,,,,,,,,,,,,,
1516,test,2018/08/21 11:42:35,37.46041,126.9212,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,2.3003,,,,,,,,,,,,,,,,,
1516,test,2018/08/21 11:42:36,37.46080,126.9224,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,2.0710,,,,,,,,,,,,,,,,,
1516,test,2018/08/21 11:42:37,37.46090,126.9235,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,9.2017,,,,,,,,,,,,,,,,,
1516,test,2018/08/21 11:42:38,37.46074,126.9210,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,9.3537,,,,,,,,,,,,,,,,,
1516,test,2018/08/21 11:42:39,37.46058,126.9220,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,0.7152,,,,,,,,,,,,,,,,,
1516,test,2018/08/21 11:42:40,37.46166,126.9226,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,9.5312,,,,,,,,,,,,,,,,,
1516,test,2018/08/21 11:42:41,37.46149,126.9229,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,2.3839,,,,,,,,,,,,,,,,,
1516,test,2018/08/21 11:42:42,37.46039,126.9220,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,9.7997,,,,,,,,,,,,,,,,,
1516,test,2018/08/21 11:42:43,37.46021,126.9224,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,8.3432,,,,,,,,,,,,,,,,,
1516,test,2018/08/21 11:42:44,37.46056,126.9219,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,8.3285,,,,,,,,,,,,,,,,,
1516,test,2018/08/21 11:42:45,37.46067,126.9232,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,3.0676,,,,,,,,,,,,,,,,,
1516,test,2018/08/21 11:42:46,37.46132,126.9238,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,4.2521,,,,,,,,,,,,,,,,,
1516,test,2018/08/21 11:42:47,37.46123,126.9216,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,1.6636,,,,,,,,,,,,,,,,,
1516,test,2018/08/21 11:42:48,37.46039,126.9223,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,1.3072,,,,,,,,,,,,,,,,,
1516,test,2018/08/21 11:42:49,37.46173,126.9231,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,0.2853,,,,,,,,,,,,,,,,,
1516,test,2018/08/21 11:42:50,37.46156,126.9231,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,4.7839,,,,,,,,,,,,,,,,,
1516,test,2018/08/21 11:42:51,37.46157,126.9240,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,0.2244,,,,,,,,,,,,,,,,,
1516,test,2018/08/21 11:42:52,37.46200,126.9241,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,9.7014,,,,,,,,,,,,,,,,,
1516,test,2018/08/21 11:42:53,37.46198,126.9202,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,0.1330,,,,,,,,,,,,,,,,,
1516,test,2018/08/21 11:42:54,37.46012,126.9238,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,5.4311,,,,,,,,,,,,,,,,,
1516,test,2018/08/21 11:42:55,37.46176,126.9208,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,8.2531,,,,,,,,,,,,,,,,,
1516,test,2018/08/21 11:42:56,37.46193,126.9250,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,2.9309,,,,,,,,,,,,,,,,,
1516,test,2018/08/21 11:42:57,37.46104,126.9218,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,6.6082,,,,,,,,,,,,,,,,,
1516,test,2018/08/21 11:42:58,37.46153,126.9231,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,1.4424,,,,,,,,,,,,,,,,,
1516,test,2018/08/21 11:42:59,37.46149,126.9233,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,2.0224,,,,,,,,,,,,,,,,,
1516,test,2018/08/21 11:43:00,37.46173,126.9242,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,8.6801,,,,,,,,,,,,,,,,,
1516,test,2018/08/21 11:43:01,37.46126,126.9242,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,1.5497,,,,,,,,,,,,,,,,,
1516,test,2018/08/21 11:43:02,37.46187,126.9243,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,0.8101,,,,,,,,,,,,,,,,,
1516,test,2018/08/21 11:43:03,37.46047,126.9241,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,6.1982,,,,,,,,,,,,,,,,,
1516,test,2018/08/21 11:43:04,37.46020,126.9237,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,4.7667,,,,,,,,,,,,,,,,,
1516,test,2018/08/21 11:43:05,37.46196,126.9237,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,1.8007,,,,,,,,,,,,,,,,,
1516,test,2018/08/21 11:43:06,37.46140,126.9202,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,5.2656,,,,,,,,,,,,,,,,,
1516,test,2018/08/21 11:43:07,37.46045,126.9227,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,4.8624,,,,,,,,,,,,,,,,,
1516,test,2018/08/21 11:43:08,37.46087,126.9213,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,5.2959,,,,,,,,,,,,,,,,,
1516,test,2018/08/21 11:43:09,37.46196,126.9240,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,0.1072,,,,,,,,,,,,,,,,,
1516,test,2018/08/21 11:43:10,37.46158,126.9201,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,9.7854,,,,,,,,,,,,,,,,,
1516,test,2018/08/21 11:43:11,37.46060,126.9243,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,1.8380,,,,,,,,,,,,,,,,,
1516,test,2018/08/21 11:43:12,37.46091,126.9220,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,7.8181,,,,,,,,,,,,,,,,,
1516,test,2018/08/21 11:43:13,37.46084,126.9235,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,0.4816,,,,,,,,,,,,,,,,,
1516,test,2018/08/21 11:43:14,37.46098,126.9203,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,4.9041,,,,,,,,,,,,,,,,,
1516,test,2018/08/21 11:43:15,37.46058,126.9201,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,0.2492,,,,,,,,,,,,,,,,,
1516,test,2018/08/21 11:43:16,37.46001,126.9244,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,7.4570,,,,,,,,,,,,,,,,,
1516,test,2018/08/21 11:43:17,37.46052,126.9221,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,3.9787,,,,,,,,,,,,,,,,,
1516,test,2018/08/21 11:43:18,37.46111,126.9228,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,7.4622,,,,,,,,,,,,,,,,,
1516,test,2018/08/21 11:43:19,37.46189,126.9207,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,2.8975,,,,,,,,,,,,,,,,,
1516,test,2018/08/21 11:43:20,37.46170,126.9247,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,7.0829,,,,,,,,,,,,,,,,,
1516,test,2018/08/21 11:43:21,37.46065,126.9209,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,1.6266,,,,,,,,,,,,,,,,,
1516,test,2018/08/21 11:43:22,37.46162,126.9225,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,8.9542,,,,,,,,,,,,,,,,,
1516,test,2018/08/21 11:43:23,37.46149,126.9214,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,0.3364,,,,,,,,,,,,,,,,,
1516,test,2018/08/21 11:43:24,37.46087,126.9219,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,8.2648,,,,,,,,,,,,,,,,,
1516,test,2018/08/21 11:43:25,37.46181,126.9238,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,9.1151,,,,,,,,,,,,,,,,,
1516,test,2018/08/21 11:43:26,37.46141,126.9230,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,4.4290,,,,,,,,,,,,,,,,,
1516,test,2018/08/21 11:43:27,37.46064,126.9220,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,2.4260,,,,,,,,,,,,,,,,,
1516,test,2018/08/21 11:43:28,37.46024,126.9222,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,3.4532,,,,,,,,,,,,,,,,,
1516,test,2018/08/21 11:43:29,37.46160,126.9242,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,6.1916,,,,,,,,,,,,,,,,,
1516,test,2018/08/21 11:43:30,37.46200,126.9236,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,6.0038,,,,,,,,,,,,,,,,,
1516,test,2018/08/21 11:43:31,37.46121,126.9231,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,0.9219,,,,,,,,,,,,,,,,,
1516,test,2018/08/21 11:43:32,37.46200,126.9221,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,7.5424,,,,,,,,,,,,,,,,,
1516,test,2018/08/21 11:43:33,37.46108,126.9224,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,1.3738,,,,,,,,,,,,,,,,,
1516,test,2018/08/21 11:43:34,37.46103,126.9236,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,6.6956,,,,,,,,,,,,,,,,,
1516,test,2018/08/21 11:43:35,37.46075,126.9209,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,4.6470,,,,,,,,,,,,,,,,,
1516,test,2018/08/21 11:43:36,37.46054,126.9212,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,8.8939,,,,,,,,,,,,,,,,,
1516,test,2018/08/21 11:43:37,37.46057,126.9248,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,4.7918,,,,,,,,,,,,,,,,,
1516,test,2018/08/21 11:43:38,37.46071,126.9211,,,,,,,,,,,,,,,,,,,,,,,,,,19,,,,7.2583,,,,,,,,,,,,,,,,,
1516,test,2018/08/21 11:43:39,37.46034,126.9230,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,4.4986,,,,,,,,,,,,,,,,,
1516,test,2018/08/21 11:43:40,37.46030,126.9239,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,3.6711,,,,,,,,,,,,,,,,,
1516,test,2018/08/21 11:43:41,37.46092,126.9211,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,7.4971,,,,,,,,,,,,,,,,,
1516,test,2018/08/21 11:43:42,37.46059,126.9243,,,,,,,,,,,,,,,,,,,,,,,,,,19,,,,6.6866,,,,,,,,,,,,,,,,,
1516,test,2018/08/21 11:43:43,37.46011,126.9230,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,3.8674,,,,,,,,,,,,,,,,,
1516,test,2018/08/21 11:43:44,37.46088,126.9248,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,5.6636,,,,,,,,,,,,,,,,,
1516,test,2018/08/21 11:43:45,37.46177,126.9227,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,1.2492,,,,,,,,,,,,,,,,,
1516,test,2018/08/21 11:43:46,37.46161,126.9230,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,9.4793,,,,,,,,,,,,,,,,,
1516,test,2018/08/21 11:43:47,37.46189,126.9209,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,1.2451,,,,,,,,,,,,,,,,,
1516,test,2018/08/21 11:43:48,37.46107,126.9243,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,2.9524,,,,,,,,,,,,,,,,,
1516,test,2018/08/21 11:43:49,37.46177,126.9216,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,7.9880,,,,,,,,,,,,,,,,,
1516,test,2018/08/21 11:43:50,37.46068,126.9205,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,7.2388,,,,,,,,,,,,,,,,,
1516,test,2018/08/21 11:43:51,37.46195,126.9204,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,2.4737,,,,,,,,,,,,,,,,,
1516,test,2018/08/21 11:43:52,37.46135,126.9238,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,7.5853,,,,,,,,,,,,,,,,,
1516,test,2018/08/21 11:43:53,37.46008,126.9246,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,4.6695,,,,,,,,,,,,,,,,,
1516,test,2018/08/21 11:43:54,37.46123,126.9223,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,2.3038,,,,,,,,,,,,,,,,,
1516,test,2018/08/21 11:43:55,37.46043,126.9201,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,3.5209,,,,,,,,,,,,,,,,,
1516,test,2018/08/21 11:43:56,37.46088,126.9232,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,2.7000,,,,,,,,,,,,,,,,,
1516,test,2018/08/21 11:43:57,37.46003,126.9237,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,9.6609,,,,,,,,,,,,,,,,,
1516,test,2018/08/21 11:43:58,37.46137,126.9208,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,8.3436,,,,,,,,,,,,,,,,,
1516,test,2018/08/21 11:43:59,37.46108,126.9201,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,7.3213,,,,,,,,,,,,,,,,,
1516,test,2018/08/21 11:44:00,37.46051,126.9231,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,4.8318,,,,,,,,,,,,,,,,,
1516,test,2018/08/21 11:44:01,37.46181,126.9206,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,0.2864,,,,,,,,,,,,,,,,,
1516,test,2018/08/21 11:44:02,37.46114,126.9211,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,0.3522,,,,,,,,,,,,,,,,,
1516,test,2018/08/21 11:44:03,37.46126,126.9249,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,3.5432,,,,,,,,,,,,,,,,,
1516,test,2018/08/21 11:44:04,37.46067,126.9249,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,2.6561,,,,,,,,,,,,,,,,,
1516,test,2018/08/21 11:44:05,37.46078,126.9216,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,5.1893,,,,,,,,,,,,,,,,,
1516,test,2018/08/21 11:44:06,37.46187,126.9212,,,,,,,,,,,,,,,,,,,,,,,,,,19,,,,6.5944,,,,,,,,,,,,,,,,,
1516,test,2018/08/21 11:44:07,37.46102,126.9234,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,6.0413,,,,,,,,,,,,,,,,,
1516,test,2018/08/21 11:44:08,37.46159,126.9207,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,3.4752,,,,,,,,,,,,,,,,,
1516,test,2018/08/21 11:44:09,37.46167,126.9232,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,3.0777,,,,,,,,,,,,,,,,,
1516,test,2018/08/21 11:44:10,37.46022,126.9202,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,2.2933,,,,,,,,,,,,,,,,,
1516,test,2018/08/21 11:44:11,37.46186,126.9202,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,6.0885,,,,,,,,,,,,,,,,,
1516,test,2018/08/21 11:44:12,37.46186,126.9249,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,8.9797,,,,,,,,,,,,,,,,,
1516,test,2018/08/21 11:44:13,37.46061,126.9210,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,3.5073,,,,,,,,,,,,,,,,,
1516,test,2018/08/21 11:44:14,37.46170,126.9214,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,3.5211,,,,,,,,,,,,,,,,,
1516,test,2018/08/21 11:44:15,37.46062,126.9242,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,6.8095,,,,,,,,,,,,,,,,,
1516,test,2018/08/21 11:44:16,37.46047,126.9230,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,1.9687,,,,,,,,,,,,,,,,,
1516,test,2018/08/21 11:44:17,37.46148,126.9203,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,9.9652,,,,,,,,,,,,,,,,,
1516,test,2018/08/21 11:44:18,37.46068,126.9239,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,0.8483,,,,,,,,,,,,,,,,,
1516,test,2018/08/21 11:44:19,37.46180,126.9214,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,8.7362,,,,,,,,,,,,,,,,,
1516,test,2018/08/21 11:44:20,37.46162,126.9208,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,8.0966,,,,,,,,,,,,,,,,,
1516,test,2018/08/21 11:44:21,37.46135,126.9228,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,6.7775,,,,,,,,,,,,,,,,,
1516,test,2018/08/21 11:44:22,37.46148,126.9205,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,8.4709,,,,,,,,,,,,,,,,,
1516,test,2018/08/21 11:44:23,37.46165,126.9250,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,8.3431,,,,,,,,,,,,,,,,,
1516,test,2018/08/21 11:44:24,37.46090,126.9228,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,4.5069,,,,,,,,,,,,,,,,,
1516,test,2018/08/21 11:44:25,37.46102,126.9244,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,9.3922,,,,,,,,,,,,,,,,,
1516,test,2018/08/21 11:44:26,37.46164,126.9248,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,8.5053,,,,,,,,,,,,,,,,,
1516,test,2018/08/21 11:44:27,37.46024,126.9228,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,4.2665,,,,,,,,,,,,,,,,,
1516,test,2018/08/21 11:44:28,37.46087,126.9208,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,4.3101,,,,,,,,,,,,,,,,,
1516,test,2018/08/21 11:44:29,37.46053,126.9222,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,8.7315,,,,,,,,,,,,,,,,,
1516,test,2018/08/21 11:44:30,37.46178,126.9217,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,7.3993,,,,,,,,,,,,,,,,,
1516,test,2018/08/21 11:44:31,37.46026,126.9205,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,0.6870,,,,,,,,,,,,,,,,,
1516,test,2018/08/21 11:44:32,37.46103,126.9201,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,4.0691,,,,,,,,,,,,,,,,,
1516,test,2018/08/21 11:44:33,37.46145,126.9241,,,,,,,,,,,,,,,,,,,,,,,,,,19,,,,7.6156,,,,,,,,,,,,,,,,,
1516,test,2018/08/21 11:44:34,37.46185,126.9229,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,4.3360,,,,,,,,,,,,,,,,,
1516,test,2018/08/21 11:44:35,37.46182,126.9236,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,1.4698,,,,,,,,,,,,,,,,,
1516,test,2018/08/21 11:44:36,37.46089,126.9213,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,6.8980,,,,,,,,,,,,,,,,,
1516,test,2018/08/21 11:44:37,37.46171,126.9241,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,1.7448,,,,,,,,,,,,,,,,,
1516,test,2018/08/21 11:44:38,37.46119,126.9236,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,5.4856,,,,,,,,,,,,,,,,,
1516,test,2018/08/21 11:44:39,37.46094,126.9215,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,4.8993,,,,,,,,,,,,,,,,,
1516,test,2018/08/21 11:44:40,37.46023,126.9228,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,2.8030,,,,,,,,,,,,,,,,,
1516,test,2018/08/21 11:44:41,37.46168,126.9230,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,1.4584,,,,,,,,,,,,,,,,,
1516,test,2018/08/21 11:44:42,37.46009,126.9244,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,0.4663,,,,,,,,,,,,,,,,,
1516,test,2018/08/21 11:44:43,37.46053,126.9219,,,,,,,,,,,,,,,,,,,,,,,,,,19,,,,3.7987,,,,,,,,,,,,,,,,,
1516,test,2018/08/21 11:44:44,37.46187,126.9235,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,2.1121,,,,,,,,,,,,,,,,,
1516,test,2018/08/21 11:44:45,37.46007,126.9239,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,4.8662,,,,,,,,,,,,,,,,,
1516,test,2018/08/21 11:44:46,37.46018,126.9211,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,1.4893,,,,,,,,,,,,,,,,,
1516,test,2018/08/21 11:44:47,37.46101,126.9215,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,2.0756,,,,,,,,,,,,,,,,,
1516,test,2018/08/21 11:44:48,37.46193,126.9235,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,6.5584,,,,,,,,,,,,,,,,,
1516,test,2018/08/21 11:44:49,37.46163,126.9216,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,0.8327,,,,,,,,,,,,,,,,,
1516,test,2018/08/21 11:44:50,37.46186,126.9223,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,0.5124,,,,,,,,,,,,,,,,,
1516,test,2018/08/21 11:44:51,37.46140,126.9217,,,,,,,,,,,,,,,,,,,,,,,,,,19,,,,4.2242,,,,,,,,,,,,,,,,,
1516,test,2018/08/21 11:44:52,37.46070,126.9247,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,1.6685,,,,,,,,,,,,,,,,,
1516,test,2018/08/21 11:44:53,37.46074,126.9242,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,2.3857,,,,,,,,,,,,,,,,,
1516,test,2018/08/21 11:44:54,37.46166,126.9243,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,2.8615,,,,,,,,,,,,,,,,,
