collect_day,good_id,pum_id,pum_name,good_name,sales_price,discount_price,benifit
2018-06-01,374588084,E011020,침대,침대/싱글/슈퍼싱글침대/퀸침대/침대프레임/주문제작,218000,208000,-10000
2018-06-01,1693157851,C013010,점퍼,[구김스] 1178_ 플라이 날개 트레이닝 집업,78000,54600,-23400
2018-06-01,1970226423,C013050,운동복,요가복/헬스복/운동복/트레이닝바지/트레이닝복세트,18000,14900,-3100
2018-06-01,175416592,E011030,거실장,[PookShuim] 푹쉼 렌 천연가죽 전동 리클라이너 6인용 소파 (양쪽형),2100000,2100000,0
2018-06-01,175416593,E011030,거실장,[PookShuim] 푹쉼 렌 천연가죽 리클라이너 4인용 소파 (양쪽형) 컵홀더포함,1970000,1970000,0
2018-06-01,451174237,C012060,여자내의,세븐데이 멜빵청미니스커트 SD-9101,23730,23730,0
2018-06-01,175416591,E011030,거실장,[PookShuim] 푹쉼 렌 천연가죽 전동 리클라이너 6인용 소파 (양쪽형) 컵홀더포함,2330000,2330000,0
2018-06-01,1766109399,L021020,장신구,럭셔리 특가 최신상 40종 고급 실버반지 (svr13) 커플반지 선물 골드조아,25000,25000,0
2018-06-01,164541234,E041050,냄비,이모션 스텐 편수냄비 16cm TPOT-EM16 [모든 가열기구 사용]/ 테팔,27000,26730,-270
2018-06-01,1148035361,A011080,밀가루,특가 즉석 쌀국수 5개 얼큰하고 구수한 해물맛 김치,8400,8200,-200
2018-06-01,502896220,L021010,손목시계,BELCARINO 남성시계 유로스타일 시계 MV2097025BR 패,68500,68500,0
2018-06-01,114293213,E061020,섬유유연제,샤프란 아로마 한장씩뽑아쓰는 섬유유연제 30/50매,3750,3750,0
2018-06-01,1566792585,A011080,밀가루,온참 예산국수 선물세트(3개 1세트) /국수 소면,15000,14800,-200
2018-06-01,1037982350,A022030,생수,진로석수2L x12병 500MLx40병 다이아몬드EC 생수 샘물,7900,7400,-500
2018-06-01,1764421263,C013010,점퍼,여성아크네무스탕 명품무스탕 맞춤무스탕점퍼,989500,989500,0
2018-06-01,570543282,C013020,티셔츠,반팔티/프린트티/무지면티/국산/남자티/여름면티셔츠,8900,8900,0
2018-06-01,1778144971,C021020,구두,[잭앤질]잭앤질 국내산 소가죽 남성구두(J64-095M),49800,47310,-2490
2018-06-01,145784983,A021010,커피,비앤그린 리브퓨어 그린커피빈 생원두가루캡슐 사은품,58000,58000,0
2018-06-01,1784833952,C014020,유아복,아동바지 플라워통바지 KIDBOK-200 유아바지 긴바지,16780,16780,0
2018-06-01,1936493252,C012040,여자학생복,[케네스레이디]허리포인트니트티셔츠[EKPOGI0100](의정부점),15000,12170,-2830
2018-06-01,414979321,C013050,운동복,푸조 남여공용 니트 트레이닝 세트(FZ134-4) 남녀공용,65310,65310,0
2018-06-01,492695691,C012040,여자학생복,[블루종]썸머 카사리 배색 가오리 니트_[B1806KN103B]/ 블루종,24500,19600,-4900
2018-06-01,492695694,C012040,여자학생복,[블루종]다이아 그물망 가오리 니트_[B1806KN105B]/ 블루종,35000,28000,-7000
2018-06-01,1433939082,F012020,생리대,[위스퍼]순면감촉 피부애 슈퍼슬림 중형 36Px2팩,17600,17600,0
2018-06-01,248192471,L021030,가방,[대구백화점 I관] [랩](기존가:49 000원)심플 숄더백(AG2ABS6A),49000,45080,-3920
2018-06-01,1245449005,D031010,주택수선재료,엔씨 수성 세라믹 방수 페인트 무란새(백색) 18리터,82890,82890,0
2018-06-01,1111264209,A017010,배추,얼갈이배추-1kg.2kg.4kg,6900,6900,0
2018-06-01,1394683083,C013010,점퍼,푸론디 원버튼 롱자켓 여성쟈켓 DM-3840,71020,67470,-3550
2018-06-01,2146360623,L012010,면도기,쉬크 쉐이빙 폼X3개/쉐이브가드/프리미엄면도기증정,9900,9900,0
2018-06-01,2021432912,A017300,미역,우체국 직송/대천김 재래김/파래김 35봉/,40500,39500,-1000
2018-06-01,739009104,L012030,칫솔,시스테마 치석케어 콤팩트 x 8개 칫솔 치약,11900,11900,0
2018-06-01,1196861554,A011120,두부,포스트 아몬드 후레이크1kgx2개+증정[시리얼/씨리얼],16900,16900,0
2018-06-01,1534217694,I031040,생화,오늘만특가! 라이언스톰 트윈연결 침낭 캠핑용품 담요,34900,29060,-5840
2018-06-01,1537555302,F012030,안경,카본안경테/우드뿔테/티타늄안경/베타뿔테안경,49000,49000,0
2018-06-01,955773550,F012020,생리대,바디피트 유기농 순면 대형_20P,11300,4990,-6310
2018-06-01,2098156606,E031130,보온매트,#TV홈쇼핑정품#순면 황토 소프트매트 퀸(145x200)2인,168000,166320,-1680
2018-06-01,1537555307,F012030,안경,빈티지/울템/안경/안경테/뿔테안경/빅사이즈/뿔테,19800,19800,0
2018-06-01,10521200,A019070,양념소스,청우 양념치킨 순한맛소스 2.1kg,5900,5900,0
2018-06-01,492695687,C012040,여자학생복,[블루종]투웨이 가오리 니트_[B1806KN101B]/ 블루종,27000,21600,-5400
2018-06-01,899493607,L012060,샴푸,애경 케라시스 데미지클리닉 샴푸 (750ML),13500,4990,-8510
2018-06-01,539236980,C021040,실내화,망사 여성 키높이 하이탑 스니커즈 통굽 웨지운동화,34500,34500,0
2018-06-01,899493606,L012060,샴푸,애경 케라시스 볼륨 클리닉 샴푸 (750ML),13500,4990,-8510
2018-06-01,1579871280,A018110,물엿,백설 돼지갈비양념/돼지불고기양념/소불고기양념/소갈비양념 2.45kg,8300,8300,0
2018-06-01,734298653,C012060,여자내의,오프라 맥시 롱스커트 DM-3800 롱스커트 주름스커트,10070,9770,-300
2018-06-01,1025592911,E011060,의자,사무용 회의용 의자 컴퓨터 책상 학생 인테리어 공부,12900,12900,0
2018-06-01,1177823376,A012060,햄및베이컨,사조 베이콘(베이컨)1kg 소시지 수제햄 가공육 햄 냉,33370,33370,0
2018-06-01,896755721,A019010,고춧가루,한생 하늘정성 고춧가루 (중간맛/1kg),31900,31900,0
2018-06-01,5400607,A018020,사탕,[농심]츄파춥스 리필팩 1봉120입 막대사탕 캔디 간식,14200,14200,0
2018-06-01,399677362,C013020,티셔츠,T1934-전사나염 넥프릴 오버핏 티셔츠 셔링티셔츠 반,44060,44060,0
2018-06-01,664234075,E011070,식탁,베스트리빙 데미안 6인 대리석 식탁세트/에코/코코/토,359000,291600,-67400
2018-06-01,665395982,C012040,여자학생복,라인 프릴블라우스NWBLID0700,49800,49800,0
2018-06-01,1370297644,E011040,소파,원스 1인용 접이식 패브릭 소파/1인용 소파,84900,74900,-10000
2018-06-01,1384219326,A011170,떡,코리원/아하 맛있는 치즈떡 1kg/떡볶이/치즈떡/바우네,4000,3900,-100
2018-06-01,2029302399,A017200,토마토,가지 2입 /볶음/조림,4530,4530,0
2018-06-01,1271277710,C011020,남자상의,여름 강아지 마 싱글수트-연베이지 리즈코 남자옷도매,193900,174510,-19390
2018-06-01,753104443,C013010,점퍼,대박 기능성 쿨 쿨론 쿨링 냉장고 반팔 티 티셔츠,2900,2900,0
2018-06-01,1035499184,I011030,사진기,니콘 D7500 body 정품 새상품+사은품+이벤트 명품,1146590,1146590,0
2018-06-01,1667547466,A022050,탄산음료,[로리나] 로리나 핑크 레몬 에이드 330ml x 12병,26300,26300,0
2018-06-01,782111362,A014010,우유,(특가)파스퇴르 바른목장 멸균우유 두유 초코 바나나,13070,13070,0
2018-06-01,1368727754,A011010,쌀,경기미20kg / 쌀20kg,50500,50500,0
2018-06-01,1375226450,A016160,과일가공품,블루베리(건조 한끼 350g)X6,110790,110790,0
2018-06-01,1920121165,C012040,여자학생복,그로 헤티그로백1.0 6 18m 유아 의류 아동 실내 어린,103060,103060,0
2018-06-01,736898050,C013010,점퍼,남자 자켓/블레이져/정장/수트/캐주얼/남성/세트/봄,62000,57800,-4200
2018-06-01,1957000144,A015020,식용유,데시에르토 유기농 엑스트라 버진 올리브 오일/한정판,45000,39700,-5300
2018-06-01,938774617,E031090,공기청정기,[발뮤다]한정 리미티드에디션! [공식수입원] 발뮤다 에어엔진 공기청정기 화이트x샴페,729000,509000,-220000
2018-06-01,784762351,C013020,티셔츠,[M.K] 펑키 로봇 후드 티셔츠 (3-24개월) 201965 아기티셔츠,17440,15530,-1910
2018-06-01,1466170422,A011160,빵,[1+1]삼립 밤만쥬 50입(총 100입)무료배송,10000,10000,0
2018-06-01,535038041,A019130,스프,보노스프 12봉+머그컵 증정/죽/간식/치즈/크림/옥수수,13900,13900,0
2018-06-01,1136125863,E061010,세탁세제,애경 울샴푸 아웃도어 세제 용기 800ml / 리필 1000ml,8200,8200,0
2018-06-01,50667192,C013060,등산복,여름 남성 등산바지 등산복 작업복바지 작업복 반바지,13800,13800,0
2018-06-01,1486758220,C012020,원피스,[나이스클랍]윙스 원피스 (N163MSE002)(인천점),39000,34810,-4190
2018-06-01,1073115412,F012020,생리대,생리대 바디피트 귀애랑 대형 5팩 총90매,16900,16900,0
2018-06-01,1154026135,C013010,점퍼,(보니알렉스) 셔링 코튼 혼방 사파리 점퍼(BBFZ580C)/ 보니알렉스,29900,26910,-2990
2018-06-01,1776152092,A022010,주스,프레주 제주감귤 1.5L x 12펫 감귤주스 감귤 쥬스 음료/ 일화,14900,14900,0
2018-06-01,120705530,A022050,탄산음료,미닛메이드 스파클링 청포도 345ml x24can,15500,15500,0
2018-06-01,492705549,C013040,청바지,여름작업복/청남방/청건빵/청조끼/청바지/유니폼/용접,15800,15800,0
2018-06-01,1775130890,F011130,홍삼,정관장 활기단(3.75*10),30000,30000,0
